INFO:root:Iteration: 0, Loss: 1.7917594909667969, Accuracy: 0.0, Validation Accuracy: 0.78125, Validation Loss: 1.7794959545135498
INFO:root:Saved Checkpoint at iteration 0 and path ./tensorboard_RNN/model0.ckpt
INFO:root:Iteration: 5, Loss: 1.7499874830245972, Accuracy: 0.5546875, Validation Accuracy: 0.5546875, Validation Loss: 1.7446200847625732
INFO:root:Iteration: 10, Loss: 1.7050960063934326, Accuracy: 0.6171875, Validation Accuracy: 0.7578125, Validation Loss: 1.6653932332992554
INFO:root:Iteration: 15, Loss: 1.6596198081970215, Accuracy: 0.609375, Validation Accuracy: 0.6484375, Validation Loss: 1.6314489841461182
INFO:root:Iteration: 20, Loss: 1.6243972778320312, Accuracy: 0.5625, Validation Accuracy: 0.5625, Validation Loss: 1.6604301929473877
INFO:root:Iteration: 25, Loss: 1.582030177116394, Accuracy: 0.59375, Validation Accuracy: 0.703125, Validation Loss: 1.542768955230713
INFO:root:Iteration: 30, Loss: 1.56244695186615, Accuracy: 0.6015625, Validation Accuracy: 0.578125, Validation Loss: 1.5399211645126343
INFO:root:Iteration: 35, Loss: 1.502614140510559, Accuracy: 0.625, Validation Accuracy: 0.3828125, Validation Loss: 1.6680212020874023
INFO:root:Iteration: 40, Loss: 1.4755077362060547, Accuracy: 0.6328125, Validation Accuracy: 0.6796875, Validation Loss: 1.3990867137908936
INFO:root:Iteration: 45, Loss: 1.4141677618026733, Accuracy: 0.6875, Validation Accuracy: 0.5, Validation Loss: 1.4837141036987305
INFO:root:Iteration: 50, Loss: 1.4232280254364014, Accuracy: 0.640625, Validation Accuracy: 0.6484375, Validation Loss: 1.3977524042129517
INFO:root:Iteration: 55, Loss: 1.4251831769943237, Accuracy: 0.59375, Validation Accuracy: 0.6484375, Validation Loss: 1.351122498512268
INFO:root:Iteration: 60, Loss: 1.35893976688385, Accuracy: 0.65625, Validation Accuracy: 0.6484375, Validation Loss: 1.3452051877975464
INFO:root:Iteration: 65, Loss: 1.352579116821289, Accuracy: 0.6171875, Validation Accuracy: 0.65625, Validation Loss: 1.347752332687378
INFO:root:Iteration: 70, Loss: 1.3165044784545898, Accuracy: 0.6640625, Validation Accuracy: 0.6328125, Validation Loss: 1.3300026655197144
INFO:root:Iteration: 75, Loss: 1.3101086616516113, Accuracy: 0.640625, Validation Accuracy: 0.6484375, Validation Loss: 1.3027567863464355
INFO:root:Iteration: 80, Loss: 1.3558661937713623, Accuracy: 0.5625, Validation Accuracy: 0.4765625, Validation Loss: 1.4360816478729248
INFO:root:Iteration: 85, Loss: 1.1923515796661377, Accuracy: 0.703125, Validation Accuracy: 0.625, Validation Loss: 1.3148356676101685
INFO:root:Iteration: 90, Loss: 1.2411081790924072, Accuracy: 0.6328125, Validation Accuracy: 0.5234375, Validation Loss: 1.4173953533172607
INFO:root:Iteration: 95, Loss: 1.3276360034942627, Accuracy: 0.578125, Validation Accuracy: 0.640625, Validation Loss: 1.2456871271133423
INFO:root:Iteration: 100, Loss: 1.2603189945220947, Accuracy: 0.625, Validation Accuracy: 0.5546875, Validation Loss: 1.2282556295394897
INFO:root:Saved Checkpoint at iteration 0 and path ./tensorboard_RNN/model0.ckpt
INFO:root:Iteration: 105, Loss: 1.2478338479995728, Accuracy: 0.6171875, Validation Accuracy: 0.3671875, Validation Loss: 1.739719033241272
INFO:root:Iteration: 110, Loss: 1.1811531782150269, Accuracy: 0.671875, Validation Accuracy: 0.671875, Validation Loss: 1.126378059387207
INFO:root:Iteration: 115, Loss: 1.0638290643692017, Accuracy: 0.71875, Validation Accuracy: 0.7421875, Validation Loss: 1.0963115692138672
INFO:root:Iteration: 120, Loss: 1.2795422077178955, Accuracy: 0.5703125, Validation Accuracy: 0.6015625, Validation Loss: 1.2090274095535278
INFO:root:Iteration: 125, Loss: 1.2695523500442505, Accuracy: 0.625, Validation Accuracy: 0.78125, Validation Loss: 0.9770298004150391
INFO:root:Iteration: 130, Loss: 1.3301892280578613, Accuracy: 0.5, Validation Accuracy: 0.828125, Validation Loss: 0.9315953254699707
INFO:root:Iteration: 135, Loss: 1.1708216667175293, Accuracy: 0.6328125, Validation Accuracy: 0.765625, Validation Loss: 0.9579892754554749
INFO:root:Iteration: 140, Loss: 1.1692736148834229, Accuracy: 0.625, Validation Accuracy: 0.40625, Validation Loss: 1.508366584777832
INFO:root:Iteration: 145, Loss: 1.2653958797454834, Accuracy: 0.5625, Validation Accuracy: 0.609375, Validation Loss: 1.2194976806640625
INFO:root:Iteration: 150, Loss: 1.188447117805481, Accuracy: 0.6015625, Validation Accuracy: 0.7578125, Validation Loss: 0.9922468662261963
INFO:root:Iteration: 155, Loss: 1.1786340475082397, Accuracy: 0.609375, Validation Accuracy: 0.59375, Validation Loss: 1.157516360282898
INFO:root:Iteration: 160, Loss: 1.2068113088607788, Accuracy: 0.640625, Validation Accuracy: 0.5859375, Validation Loss: 1.2899399995803833
INFO:root:Iteration: 165, Loss: 1.1353988647460938, Accuracy: 0.6875, Validation Accuracy: 0.53125, Validation Loss: 1.2554657459259033
INFO:root:Iteration: 170, Loss: 1.3887542486190796, Accuracy: 0.53125, Validation Accuracy: 0.4296875, Validation Loss: 1.3577717542648315
INFO:root:Iteration: 175, Loss: 1.2348918914794922, Accuracy: 0.578125, Validation Accuracy: 0.765625, Validation Loss: 0.9966336488723755
INFO:root:Iteration: 180, Loss: 1.1625263690948486, Accuracy: 0.6328125, Validation Accuracy: 0.8046875, Validation Loss: 0.8992208242416382
INFO:root:Iteration: 185, Loss: 1.1736278533935547, Accuracy: 0.6484375, Validation Accuracy: 0.7578125, Validation Loss: 0.9571593403816223
INFO:root:Iteration: 190, Loss: 1.1193526983261108, Accuracy: 0.65625, Validation Accuracy: 0.5390625, Validation Loss: 1.2850408554077148
INFO:root:Iteration: 195, Loss: 1.1686339378356934, Accuracy: 0.640625, Validation Accuracy: 0.75, Validation Loss: 1.0323690176010132
INFO:root:Iteration: 200, Loss: 1.252753496170044, Accuracy: 0.578125, Validation Accuracy: 0.5703125, Validation Loss: 1.2920018434524536
INFO:root:Saved Checkpoint at iteration 0 and path ./tensorboard_RNN/model0.ckpt
INFO:root:Iteration: 205, Loss: 1.2175390720367432, Accuracy: 0.6015625, Validation Accuracy: 0.78125, Validation Loss: 0.8567960858345032
INFO:root:Iteration: 210, Loss: 1.2297555208206177, Accuracy: 0.59375, Validation Accuracy: 0.6328125, Validation Loss: 1.097808837890625
INFO:root:Iteration: 215, Loss: 1.2253977060317993, Accuracy: 0.6171875, Validation Accuracy: 0.4765625, Validation Loss: 1.537813663482666
INFO:root:Iteration: 220, Loss: 1.1611783504486084, Accuracy: 0.6328125, Validation Accuracy: 0.7109375, Validation Loss: 1.0184379816055298
INFO:root:Iteration: 225, Loss: 1.1151001453399658, Accuracy: 0.6796875, Validation Accuracy: 0.6328125, Validation Loss: 1.1405298709869385
INFO:root:Iteration: 230, Loss: 1.1795722246170044, Accuracy: 0.59375, Validation Accuracy: 0.5390625, Validation Loss: 1.3525466918945312
INFO:root:Iteration: 235, Loss: 1.1966617107391357, Accuracy: 0.625, Validation Accuracy: 0.8203125, Validation Loss: 0.83756023645401
INFO:root:Iteration: 240, Loss: 1.213463544845581, Accuracy: 0.5859375, Validation Accuracy: 0.5859375, Validation Loss: 1.1949701309204102
INFO:root:Iteration: 245, Loss: 1.1873849630355835, Accuracy: 0.609375, Validation Accuracy: 0.65625, Validation Loss: 1.0404126644134521
INFO:root:Iteration: 250, Loss: 1.228637933731079, Accuracy: 0.6015625, Validation Accuracy: 0.59375, Validation Loss: 1.130185842514038
INFO:root:Iteration: 255, Loss: 1.1928629875183105, Accuracy: 0.625, Validation Accuracy: 0.7265625, Validation Loss: 1.030797004699707
INFO:root:Iteration: 260, Loss: 1.128498911857605, Accuracy: 0.640625, Validation Accuracy: 0.6328125, Validation Loss: 1.1924247741699219
INFO:root:Iteration: 265, Loss: 1.2061454057693481, Accuracy: 0.6015625, Validation Accuracy: 0.625, Validation Loss: 1.0668073892593384
INFO:root:Iteration: 270, Loss: 1.2650439739227295, Accuracy: 0.5546875, Validation Accuracy: 0.5, Validation Loss: 1.3801097869873047
INFO:root:Iteration: 275, Loss: 1.1672389507293701, Accuracy: 0.609375, Validation Accuracy: 0.5078125, Validation Loss: 1.2200143337249756
INFO:root:Iteration: 280, Loss: 1.2385255098342896, Accuracy: 0.578125, Validation Accuracy: 0.484375, Validation Loss: 1.34946608543396
INFO:root:Iteration: 285, Loss: 1.1078758239746094, Accuracy: 0.671875, Validation Accuracy: 0.5703125, Validation Loss: 1.3232614994049072
INFO:root:Iteration: 290, Loss: 1.2183371782302856, Accuracy: 0.59375, Validation Accuracy: 0.625, Validation Loss: 1.1219887733459473
INFO:root:Iteration: 295, Loss: 1.332900881767273, Accuracy: 0.546875, Validation Accuracy: 0.5703125, Validation Loss: 1.133057713508606
INFO:root:Iteration: 300, Loss: 1.1415549516677856, Accuracy: 0.625, Validation Accuracy: 0.3671875, Validation Loss: 1.7395739555358887
INFO:root:Saved Checkpoint at iteration 0 and path ./tensorboard_RNN/model0.ckpt
INFO:root:Iteration: 305, Loss: 1.299259901046753, Accuracy: 0.546875, Validation Accuracy: 0.640625, Validation Loss: 1.1199803352355957
INFO:root:Iteration: 310, Loss: 0.9305927157402039, Accuracy: 0.71875, Validation Accuracy: 0.6640625, Validation Loss: 1.1020286083221436
INFO:root:Iteration: 315, Loss: 0.9861476421356201, Accuracy: 0.7265625, Validation Accuracy: 0.46875, Validation Loss: 1.36222505569458
INFO:root:Iteration: 320, Loss: 1.1430304050445557, Accuracy: 0.6171875, Validation Accuracy: 0.8125, Validation Loss: 0.876717746257782
INFO:root:Iteration: 325, Loss: 1.2429227828979492, Accuracy: 0.609375, Validation Accuracy: 0.625, Validation Loss: 1.161853551864624
INFO:root:Iteration: 330, Loss: 1.2261818647384644, Accuracy: 0.6015625, Validation Accuracy: 0.6875, Validation Loss: 1.0610634088516235
INFO:root:Iteration: 335, Loss: 1.0825203657150269, Accuracy: 0.6640625, Validation Accuracy: 0.375, Validation Loss: 1.5269896984100342
INFO:root:Iteration: 340, Loss: 1.2115477323532104, Accuracy: 0.5859375, Validation Accuracy: 0.515625, Validation Loss: 1.4087204933166504
INFO:root:Iteration: 345, Loss: 1.2730019092559814, Accuracy: 0.5546875, Validation Accuracy: 0.7734375, Validation Loss: 0.8727773427963257
INFO:root:Iteration: 350, Loss: 1.044307827949524, Accuracy: 0.6875, Validation Accuracy: 0.578125, Validation Loss: 1.1691020727157593
INFO:root:Iteration: 355, Loss: 1.1631519794464111, Accuracy: 0.609375, Validation Accuracy: 0.5625, Validation Loss: 1.2673075199127197
INFO:root:Iteration: 360, Loss: 1.2861909866333008, Accuracy: 0.5859375, Validation Accuracy: 0.5078125, Validation Loss: 1.2754725217819214
INFO:root:Iteration: 365, Loss: 1.1596460342407227, Accuracy: 0.625, Validation Accuracy: 0.6875, Validation Loss: 1.0192947387695312
INFO:root:Iteration: 370, Loss: 1.0722260475158691, Accuracy: 0.6484375, Validation Accuracy: 0.828125, Validation Loss: 0.7972861528396606
INFO:root:Iteration: 375, Loss: 1.0361573696136475, Accuracy: 0.7109375, Validation Accuracy: 0.828125, Validation Loss: 0.7909837365150452
INFO:root:Iteration: 380, Loss: 1.196338176727295, Accuracy: 0.65625, Validation Accuracy: 0.7734375, Validation Loss: 0.8563152551651001
INFO:root:Iteration: 385, Loss: 1.190195083618164, Accuracy: 0.6171875, Validation Accuracy: 0.625, Validation Loss: 1.1363040208816528
INFO:root:Iteration: 390, Loss: 1.1837787628173828, Accuracy: 0.6015625, Validation Accuracy: 0.671875, Validation Loss: 1.131516695022583
INFO:root:Iteration: 395, Loss: 1.0680947303771973, Accuracy: 0.671875, Validation Accuracy: 0.609375, Validation Loss: 1.1999998092651367
INFO:root:Iteration: 400, Loss: 1.20023512840271, Accuracy: 0.6015625, Validation Accuracy: 0.703125, Validation Loss: 0.9602015018463135
INFO:root:Saved Checkpoint at iteration 0 and path ./tensorboard_RNN/model0.ckpt
INFO:root:Iteration: 405, Loss: 1.1907026767730713, Accuracy: 0.6015625, Validation Accuracy: 0.5078125, Validation Loss: 1.178189754486084
INFO:root:Iteration: 410, Loss: 1.1503522396087646, Accuracy: 0.640625, Validation Accuracy: 0.53125, Validation Loss: 1.4265302419662476
INFO:root:Iteration: 415, Loss: 1.1573028564453125, Accuracy: 0.609375, Validation Accuracy: 0.671875, Validation Loss: 1.0623772144317627
INFO:root:Iteration: 420, Loss: 1.1660487651824951, Accuracy: 0.59375, Validation Accuracy: 0.734375, Validation Loss: 0.9648741483688354
INFO:root:Iteration: 425, Loss: 1.075548529624939, Accuracy: 0.6796875, Validation Accuracy: 0.578125, Validation Loss: 1.2005672454833984
INFO:root:Iteration: 430, Loss: 1.2349814176559448, Accuracy: 0.578125, Validation Accuracy: 0.84375, Validation Loss: 0.8234341144561768
INFO:root:Iteration: 435, Loss: 1.1898887157440186, Accuracy: 0.609375, Validation Accuracy: 0.5078125, Validation Loss: 1.346684217453003
INFO:root:Iteration: 440, Loss: 1.2584075927734375, Accuracy: 0.546875, Validation Accuracy: 0.71875, Validation Loss: 0.9176102876663208
INFO:root:Iteration: 445, Loss: 1.266261339187622, Accuracy: 0.5703125, Validation Accuracy: 0.5703125, Validation Loss: 1.1792157888412476
INFO:root:Iteration: 450, Loss: 1.2773727178573608, Accuracy: 0.5625, Validation Accuracy: 0.7109375, Validation Loss: 1.0778073072433472
INFO:root:Iteration: 455, Loss: 1.1615267992019653, Accuracy: 0.6328125, Validation Accuracy: 0.765625, Validation Loss: 0.9223245978355408
INFO:root:Iteration: 460, Loss: 1.355058193206787, Accuracy: 0.5234375, Validation Accuracy: 0.5078125, Validation Loss: 1.245650053024292
INFO:root:Iteration: 465, Loss: 1.1366018056869507, Accuracy: 0.640625, Validation Accuracy: 0.5078125, Validation Loss: 1.3165370225906372
INFO:root:Iteration: 470, Loss: 1.443462610244751, Accuracy: 0.4765625, Validation Accuracy: 0.625, Validation Loss: 1.0491111278533936
INFO:root:Iteration: 475, Loss: 1.0893912315368652, Accuracy: 0.65625, Validation Accuracy: 0.5625, Validation Loss: 1.198453664779663
INFO:root:Iteration: 480, Loss: 1.061718463897705, Accuracy: 0.671875, Validation Accuracy: 0.5703125, Validation Loss: 1.2671020030975342
INFO:root:Iteration: 485, Loss: 1.1975975036621094, Accuracy: 0.5859375, Validation Accuracy: 0.703125, Validation Loss: 0.934280514717102
INFO:root:Iteration: 490, Loss: 1.255041480064392, Accuracy: 0.5546875, Validation Accuracy: 0.46875, Validation Loss: 1.328507661819458
INFO:root:Iteration: 495, Loss: 1.2580664157867432, Accuracy: 0.5625, Validation Accuracy: 0.453125, Validation Loss: 1.6020649671554565
INFO:root:Iteration: 500, Loss: 1.1223372220993042, Accuracy: 0.65625, Validation Accuracy: 0.78125, Validation Loss: 0.8999699950218201
INFO:root:Saved Checkpoint at iteration 0 and path ./tensorboard_RNN/model0.ckpt
INFO:root:Iteration: 505, Loss: 1.0383450984954834, Accuracy: 0.6640625, Validation Accuracy: 0.625, Validation Loss: 1.1695131063461304
INFO:root:Iteration: 510, Loss: 1.2279294729232788, Accuracy: 0.578125, Validation Accuracy: 0.453125, Validation Loss: 1.4060523509979248
INFO:root:Iteration: 515, Loss: 1.2219645977020264, Accuracy: 0.609375, Validation Accuracy: 0.765625, Validation Loss: 0.9359874725341797
INFO:root:Iteration: 520, Loss: 1.3851211071014404, Accuracy: 0.5078125, Validation Accuracy: 0.703125, Validation Loss: 0.9907644391059875
INFO:root:Iteration: 525, Loss: 1.2949365377426147, Accuracy: 0.5390625, Validation Accuracy: 0.5625, Validation Loss: 1.277032494544983
INFO:root:Iteration: 530, Loss: 1.3174282312393188, Accuracy: 0.5078125, Validation Accuracy: 0.5390625, Validation Loss: 1.2016191482543945
INFO:root:Iteration: 535, Loss: 1.361454725265503, Accuracy: 0.484375, Validation Accuracy: 0.3671875, Validation Loss: 1.6735702753067017
INFO:root:Iteration: 540, Loss: 1.2211198806762695, Accuracy: 0.578125, Validation Accuracy: 0.6171875, Validation Loss: 1.083193063735962
INFO:root:Iteration: 545, Loss: 1.2022621631622314, Accuracy: 0.5859375, Validation Accuracy: 0.734375, Validation Loss: 0.9787152409553528
INFO:root:Iteration: 550, Loss: 1.2121838331222534, Accuracy: 0.609375, Validation Accuracy: 0.6640625, Validation Loss: 1.0596537590026855
INFO:root:Iteration: 555, Loss: 1.2151414155960083, Accuracy: 0.59375, Validation Accuracy: 0.640625, Validation Loss: 1.080975890159607
INFO:root:Iteration: 560, Loss: 1.0678441524505615, Accuracy: 0.65625, Validation Accuracy: 0.71875, Validation Loss: 1.0354454517364502
INFO:root:Iteration: 565, Loss: 1.1610820293426514, Accuracy: 0.609375, Validation Accuracy: 0.84375, Validation Loss: 0.7874003052711487
INFO:root:Iteration: 570, Loss: 1.1121935844421387, Accuracy: 0.6484375, Validation Accuracy: 0.578125, Validation Loss: 1.249279499053955
INFO:root:Iteration: 575, Loss: 1.1349140405654907, Accuracy: 0.6328125, Validation Accuracy: 0.765625, Validation Loss: 0.8232177495956421
INFO:root:Iteration: 580, Loss: 1.1207201480865479, Accuracy: 0.6328125, Validation Accuracy: 0.7109375, Validation Loss: 1.0185902118682861
INFO:root:Iteration: 585, Loss: 1.2660942077636719, Accuracy: 0.5546875, Validation Accuracy: 0.5859375, Validation Loss: 1.1409080028533936
INFO:root:Iteration: 590, Loss: 1.173397421836853, Accuracy: 0.578125, Validation Accuracy: 0.59375, Validation Loss: 1.252103567123413
INFO:root:Iteration: 595, Loss: 1.0886781215667725, Accuracy: 0.6328125, Validation Accuracy: 0.609375, Validation Loss: 1.0864286422729492
INFO:root:Iteration: 600, Loss: 1.2122241258621216, Accuracy: 0.578125, Validation Accuracy: 0.359375, Validation Loss: 1.4154200553894043
INFO:root:Saved Checkpoint at iteration 0 and path ./tensorboard_RNN/model0.ckpt
